copd_me_3_rrmse_3_11_7_13, mntl_bh_p_me_2_rate_3_11_7_13, asthma_me_3_rrmse_3_11_7_13, area_code, mntl_bh_m_me_2_rate_3_11_7_13, copd_me_1_no_3_11_7_13, hypertens_me_1_no_3_11_7_13, hypertens_me_3_rrmse_3_11_7_13, respirtry_me_1_no_3_11_7_13, mntl_bh_m_me_1_no_3_11_7_13, hg_choles_me_2_rate_3_11_7_13, asthma_me_2_rate_3_11_7_13, diabetes_me_2_rate_3_11_7_13, musculo_me_3_rrmse_3_11_7_13, mntl_bh_f_me_3_rrmse_3_11_7_13, area_name, arthritis_me_1_no_3_11_7_13, respirtry_me_2_rate_3_11_7_13, arthritis_me_2_rate_3_11_7_13, hypertens_me_2_rate_3_11_7_13, circ_me_2_rate_3_11_7_13, mntl_bh_f_me_1_no_3_11_7_13, diabetes_me_3_rrmse_3_11_7_13, hg_choles_me_1_no_3_11_7_13, circ_me_3_rrmse_3_11_7_13, respirtry_me_3_rrmse_3_11_7_13, mntl_bh_p_me_3_rrmse_3_11_7_13, diabetes_me_1_no_3_11_7_13, asthma_me_1_no_3_11_7_13, mntl_bh_p_me_1_no_3_11_7_13, mntl_bh_f_me_2_rate_3_11_7_13, circ_me_1_no_3_11_7_13, musculo_me_2_rate_3_11_7_13, musculo_me_1_no_3_11_7_13, arthritis_me_3_rrmse_3_11_7_13, mntl_bh_m_me_3_rrmse_3_11_7_13, copd_me_2_rate_3_11_7_13, hg_choles_me_3_rrmse_3_11_7_13
1.0,13.4303461084756,3.0,20110,12.3366897701029,313.529429386512,1561.48726797865,3.0,4113.65994367499,764.790632506036,35.3057387226384,12.8476681681485,3.56562935440792,3.0,3.0,"Alpine (S)",2322.84653498508,34.3511264707318,14.5891892746564,9.57879685658035,17.6656117140363,878.908291510887,3.0,3597.92905923373,3.0,3.0,3.0,440.307656414755,1531.02206851945,1643.69892401692,14.6492354456544,2695.41744860181,28.4973059836076,4059.25057768485,3.0,3.0,2.1485216864796,3.0
1.0,14.2120267136201,3.0,20260,12.2431689633156,278.444340350264,1452.3975909091,3.0,3454.41123782948,706.911953702131,34.9375991156737,12.6444862885225,3.68647464613791,3.0,3.0,"Ararat (RC)",2343.05867536441,30.6848974556534,16.1683661411773,9.80007792406328,17.4952321937602,921.238741668112,1.0,3305.14889783009,3.0,3.0,3.0,414.530890421384,1419.84132752686,1628.15069537024,16.338850058268,2436.90696494832,29.849878076861,3918.02138768438,3.0,3.0,2.07343554167985,3.0
3.0,14.7416623172016,3.0,20570,12.5162613268324,2101.59562030576,9510.68438556955,3.0,33557.8345782778,5757.47563097815,33.9747814590637,15.1469191704113,4.08497319178187,3.0,3.0,"Ballarat (C)",15558.2300814175,35.6691543509679,16.1964380349317,9.82811788471425,17.3905031299513,8091.09180736004,3.0,24138.1624644432,3.0,3.0,3.0,3013.75944598472,14334.0423969182,13848.5674383382,16.820496982037,16329.4318529223,28.8302586644678,27257.4694950908,3.0,3.0,2.19152123166778,3.0
3.0,12.6174627984975,3.0,20660,11.4176527207225,2383.93582609586,12960.8268316341,3.0,40811.8879066638,6888.47652299653,32.7673442475167,11.4112106480675,3.72710075552451,3.0,3.0,"Banyule (C)",17581.5162575833,33.1287187429134,13.4738015875368,9.84929326722461,16.082554620237,8735.53779793159,3.0,31807.6382262678,3.0,3.0,3.0,3738.15862458143,14002.3435376505,15624.0143209281,13.7275808734684,20471.0198358223,26.2113130042715,33555.6130896223,3.0,3.0,1.85949595690168,3.0
3.0,14.6919801135372,3.0,20740,12.602288007782,777.554724061259,4086.0739371166,3.0,9116.53241923532,1900.20400935394,33.0470403397441,13.6115813201464,3.85333931398852,3.0,3.0,"Bass Coast (S)",6436.93021737229,30.029334713622,15.7144003734598,9.67519986545623,17.4203059543124,2613.11093605761,3.0,8432.29202539253,3.0,3.0,3.0,1231.63610611437,4127.29773619727,4513.31494541155,16.814899925855,6872.44790211007,27.8075239335793,10135.2701635527,3.0,3.0,2.0570252989959,3.0
3.0,13.3446894101874,3.0,20830,11.0486302429322,972.956637318158,4462.92194683406,3.0,12946.6198949865,2407.96810242894,36.44976348978,13.3221963300765,3.51203161050882,3.0,3.0,"Baw Baw (S)",6971.87987505364,29.7169323035944,14.1973541475,8.99907391649287,16.0313885675581,3429.66380238042,3.0,12537.7517734146,3.0,3.0,3.0,1337.16503537149,5830.20521717324,5837.63190480937,15.649535882613,7589.19499928213,27.1341647694251,12588.3921436451,3.0,3.0,2.05195461851289,3.0
3.0,12.1189180213569,3.0,20910,11.42653700508,1803.8142339,10893.6929726,3.0,28963.918539,5408.2370863,34.324752474389,10.174982042695,3.35421569753037,3.0,3.0,"Bayside (C)",13996.6408815,30.3535387183597,12.6962927833229,9.688458424885,15.3174411979039,6339.1707459,3.0,26314.1331165,3.0,3.0,3.0,2835.5761048,9666.3838902,11747.4078322,12.7711870517372,16452.336397,25.6199495853002,26617.9181834,3.0,3.0,1.72014211643438,3.0
3.0,14.7748026566978,3.0,21010,12.5474356278616,356.623877052127,1783.59106383713,3.0,4333.57071762656,873.283707139023,35.486708235613,14.1107327227663,3.48742216000066,3.0,3.0,"Benalla (RC)",2698.83233911669,31.2955755659699,14.9395521259902,9.58744177756483,17.2585627898667,1204.75057135038,3.0,4047.50074074546,3.0,3.0,3.0,486.217499633038,1958.24378665476,2078.0342784894,16.9364248004425,3012.57235946095,28.9192424899781,4679.83736731614,3.0,3.0,2.13861075004447,3.0
3.0,12.1123451439535,3.0,21110,11.5935822524472,2767.48291297583,16139.5904627587,3.0,49146.0071580443,9451.36517652794,34.368258147864,9.45614860154232,3.6625824005417,3.0,3.0,"Boroondara (C)",20501.5105244507,29.4756928181062,12.0776391459517,9.45264581992394,14.2649091415947,10920.0292014648,3.0,44049.4659381047,3.0,3.0,3.0,4730.43994427506,15698.3282648753,20371.3943779927,12.614793861436,23715.8785506126,24.5270946221923,41344.1029346976,3.0,3.0,1.64314248882098,3.0
3.0,12.1436632510289,3.0,21180,8.85058477545901,3056.97562442899,17773.9295555928,3.0,47734.449909122,8612.30787654192,31.7343218098351,8.39618271016507,8.79899994898212,3.0,3.0,"Brimbank (C)",24379.2539085247,24.4812042604525,13.6550076452025,10.1133087768121,16.6172480890722,15001.1565595201,3.0,46859.0168762532,3.0,3.0,3.0,12108.6475165208,16375.6890897894,23613.4644360621,15.4920304260947,28858.2735299195,25.3790235746255,47133.4747754044,3.0,3.0,1.66066468039965,3.0
